moniker_clean,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,WEIGHTED_VOTE,YES,votingPower,validatorAddress,pca_x,pca_y,cluster
Starship,0,0.03030303,0.636363636,0.03030303,0,0.303030303,0.044734,"['crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv', 'crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv']",1.548320655,-0.864061038,1
Canary Capital,0,0,1,0,0,0,0.043361,"['crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u', 'crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u', 'crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u', 'crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u', 'crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u']",-1.434095004,0.006406911,0
Venofinance,0,0,1,0,0,0,0.027942,"['crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt', 'crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt']",-1.434095004,0.006406911,0
Figment,0,0,1,0,0,0,0.010265,"['crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t', 'crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t', 'crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t', 'crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t', 'crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t']",-1.434095004,0.006406911,0
P2PORG,0,0,0,0,0,1,0.000435,['crocncl1839a7zsrucn4mdrnpwzn4547gmtm3ywmllhjcf'],5.169294328,-2.364892241,1
Jerrys Pool,0.024390244,0.048780488,0.43902439,0.146341463,0,0.341463415,0.012442,"['crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9', 'crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9']",3.991986664,-0.164082602,1
Allnodes,0.0625,0.03125,0.5625,0.15625,0,0.1875,0.008381,"['crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry', 'crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry']",3.240480436,1.650671782,2
Phaenon,0,0,1,0,0,0,0.009011,"['crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8', 'crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8']",-1.434095004,0.006406911,0
Finland,0,0.138888889,0.555555556,0,0,0.305555556,0.00745,"['crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc', 'crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc']",3.244129743,-1.435487307,1
Stakin,0.058823529,0.029411765,0.529411765,0.147058824,0,0.235294118,0.002851,"['crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h', 'crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h']",3.353940077,1.414462133,2
Cryptobzh,0.0625,0.0625,0.625,0,0,0.25,0.002895,"['crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz', 'crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz']",2.184612668,1.317264727,2
Smart Stake,0.026315789,0.052631579,0.473684211,0.131578947,0,0.315789474,0.002789,"['crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr', 'crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr']",3.724655205,-0.056745752,1
