moniker_clean,ABSTAIN,NO_VOTE,YES,NO,NO_WITH_VETO,votingPower,validatorAddress,pca_x,pca_y,cluster
Figure,0,0.659090909,0.340909091,0,0,0.048562,"['pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq', 'pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq']",1.947351666,0.05022399,1
MP Validator One,0,0.769230769,0.230769231,0,0,0.039208,"['pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0', 'pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0']",0.807237297,-0.140725327,1
Osetra,0.076923077,0.923076923,0,0,0,0.0422,"['pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px', 'pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px']",-1.920611504,3.964822052,2
Provenance East,0.022727273,0.659090909,0.318181818,0,0,0.028118,"['pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0', 'pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0']",1.611919728,1.342031105,1
Little Resonance,0,1,0,0,0,0.036494,['pbvaloper1zkqvgkxuhwmlxlgyde2s42ge9kdy0d7d520ukk'],-1.581573761,-0.540809611,0
Ping,0,1,0,0,0,0.026974,"['pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf', 'pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf']",-1.581573761,-0.540809611,0
CGSol,0,1,0,0,0,0.004218,"['pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx', 'pbvaloper12c2ensgq6faq2tcdd5n6n2kjhw0zy44um3zwxx']",-1.581573761,-0.540809611,0
NU,0.076923077,0.923076923,0,0,0,0.046222,"['pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz', 'pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz']",-1.920611504,3.964822052,2
salenka,0,0.90625,0.09375,0,0,0.002711,"['pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt', 'pbvaloper18z3vmsmpvgcjdq58fxuek360t603d5saxx0zzt']",-0.611119269,-0.37827537,0
Perfectnodes,0,0.923076923,0.076923077,0,0,0.002712,"['pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p', 'pbvaloper1g03rtwyecdvuyq0s2gkuh0zh3yhm67qjg9904p']",-0.785303408,-0.407448183,0
ITRocket,0,0.878787879,0.121212121,0,0,0.002712,"['pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2', 'pbvaloper1564chu8lhxyzgd3dwkn6rydtn030mnn8yadah2']",-0.32684472,-0.33066433,0
