moniker,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,YES,votingPower,pca_x,pca_y,cluster
Huginn,0.066666667,0.033333333,0.1,0,0.8,0.000751,2.257511759,-0.078280431,1
Huobi,0,0,1,0,0,0.000168,-1.15110268,-0.02689387,0
HyperblocksPro,0,0,0.733333333,0,0.266666667,0.000024,-0.278342742,0.000999356,0
IRISNET,0.033333333,0,0.8,0,0.166666667,0.000835,-0.417993597,-0.092797431,0
ITRocket,0,0,0.5,0,0.5,0.000008,0.485322204,0.025405929,0
IcyCRO,0,0,0.3,0,0.7,0.001821,1.139892157,0.046325848,1
Imperatorco,0.266666667,0.033333333,0,0,0.7,0.010462,3.056031511,-0.588761357,1
InfStones,0,0,1,0,0,0.001607,-1.15110268,-0.02689387,0
Informal Systems,0.1,0.066666667,0.233333333,0,0.6,0.015382,2.205642308,-0.150929762,1
Inter Blockchain Services,0.033333333,0.133333333,0.166666667,0,0.666666667,0.000056,2.878696813,0.085932033,1
Interstellar,0.133333333,0.1,0,0,0.766666667,0.002289,3.353817773,-0.185225907,1
KEK,0,0,1,0,0,0.000046,-1.15110268,-0.02689387,0
Kahuna,0.033333333,0.066666667,0.566666667,0,0.333333333,0.004078,0.957614127,-0.012149332,1
KalpaTech,0.1,0.166666667,0.033333333,0,0.7,0.000934,3.77812643,-0.045647553,1
Keplr,0.1,0.1,0,0,0.8,0.011224,3.275278643,-0.098402426,1
Kiln,0,0,1,0,0,0.022425,-1.15110268,-0.02689387,0
Kiln legacy please redelegate,0.4,0.033333333,0,0,0.566666667,0.024316,3.370188029,-0.93605528,1
Kintsugi Nodes,0,0.1,0.766666667,0,0.133333333,0.000547,0.530476434,0.081874993,0
Kraken01,0,0,1,0,0,0.035172,-1.15110268,-0.02689387,0
KysenPool Sky,0,0,0.933333333,0,0.066666667,0.00056,-0.932912696,-0.019920563,0
LavenderFive Nodes,0,0.1,0,0,0.9,0.004197,3.039661255,0.162068017,1
Leap Wallet,0.033333333,0,0.266666667,0,0.7,0.002087,1.327526279,-0.03701098,1
Ledger by Chorus One,0,0,1,0,0,0.029547,-1.15110268,-0.02689387,0
MANTRA,0.2,0,0.566666667,0,0.233333333,0.001967,0.738366995,-0.502508263,0
Meria,0.033333333,0.133333333,0,0,0.833333333,0.004702,3.424171774,0.103365299,1
Moonlet,0.233333333,0.033333333,0,0,0.733333333,0.001397,2.977492382,-0.501937876,1
MultiChain ventures,0,0,0.9,0,0.1,0.000857,-0.823817703,-0.01643391,0
NEOPIN,0,0,1,0,0,0.000556,-1.15110268,-0.02689387,0
NO Fee to 2025 meleaxyz,0,0,1,0,0,0.008266,-1.15110268,-0.02689387,0
Nansen Stake to Stack Points,0.166666667,0,0.5,0,0.333333333,0.014899,0.87801785,-0.408711476,1
NexuSecurus,0,0,1,0,0,0.000041,-1.15110268,-0.02689387,0
Node Guardians,0.233333333,0.033333333,0.066666667,0,0.666666667,0.002023,2.759302398,-0.508911182,1
NodeStake,0.1,0.066666667,0,0,0.833333333,0.005616,2.969307254,-0.126523189,1
Nodeify,0,0.133333333,0.233333333,0,0.633333333,0.000925,2.581967699,0.165782207,1
OKXEarn,0,0,1,0,0,0.009775,-1.15110268,-0.02689387,0
OWALLET,0.1,0.1,0.166666667,0,0.633333333,0.000091,2.729803682,-0.115835692,1
Oldcat airdrop DHK every month,0.066666667,0.166666667,0,0,0.766666667,0.001471,3.808682293,0.044662581,1
Oleg,0,0,1,0,0,0.000001,-1.15110268,-0.02689387,0
Onbloc Node,0,0,1,0,0,0.001073,-1.15110268,-0.02689387,0
P2Porg,0.133333333,0.133333333,0.066666667,0,0.666666667,0.019412,3.441599178,-0.16407845,1
POSTHUMAN StakeDrop,0,0.133333333,0.133333333,0,0.733333333,0.007917,2.909252676,0.176242167,1
PRO Delegators,0.133333333,0.1,0.1,0,0.666666667,0.007629,3.026532796,-0.195685866,1
