moniker,ABSTAIN,NO_VOTE,YES,NO,NO_WITH_VETO,votingPower,pca_x,pca_y,cluster
Snow Fall,0,0.210526316,0.789473684,0,0,0.000063,1.639222253,-0.211280775,1
Solv Protocol,0,0.736842105,0.263157895,0,0,0.025945,-0.731862855,-0.255150163,0
Stake Shark,0,1,0,0,0,0.001341,-1.917405409,-0.277084857,0
StakeRelax,0,0.473684211,0.526315789,0,0,0.000013,0.453679699,-0.233215469,1
Stakecito,0,0.052631579,0.947368421,0,0,0.01354,2.350547786,-0.198119959,1
Staketab,0,0.578947368,0.421052632,0,0,0.000001,-0.020537322,-0.241989346,0
Staking4All,0,0.210526316,0.789473684,0,0,0.010803,1.639222253,-0.211280775,1
Sunsetted Validator Please Redelegate,0.052631579,0.157894737,0.789473684,0,0,0.000001,1.736774534,0.93816862,1
Swyke,0,0.473684211,0.526315789,0,0,0,0.453679699,-0.233215469,1
Synergy Nodes,0,0.894736842,0.105263158,0,0,0.000003,-1.443188387,-0.268310979,0
Twinstake,0,0.421052632,0.578947368,0,0,0.01036,0.69078821,-0.22882853,1
Vadypto,0,0.894736842,0.105263158,0,0,0.000126,-1.443188387,-0.268310979,0
Validation Cloud,0,0.263157895,0.736842105,0,0,0,1.402113742,-0.215667714,1
Validatus,0,0.736842105,0.263157895,0,0,0.000111,-0.731862855,-0.255150163,0
WhisperNode,0,0.526315789,0.473684211,0,0,0.000003,0.216571188,-0.237602408,1
Xangle,0,0.105263158,0.894736842,0,0,0.025902,2.113439275,-0.202506897,1
Zeeve Inc,0,1,0,0,0,0.000109,-1.917405409,-0.277084857,0
Zellic,0,0.473684211,0.526315789,0,0,0.046503,0.453679699,-0.233215469,1
betahk,0,1,0,0,0,0.000056,-1.917405409,-0.277084857,0
blockscape,0,0.947368421,0.052631579,0,0,0.000054,-1.680296898,-0.272697918,0
caliber,0,0.210526316,0.789473684,0,0,0.010362,1.639222253,-0.211280775,1
cobo,0,1,0,0,0,0,-1.917405409,-0.277084857,0
doricavalidators,0,0,1,0,0,0.000017,2.587656297,-0.19373302,1
equinoxDAO,0,0.578947368,0.421052632,0,0,0.000001,-0.020537322,-0.241989346,0
falconx,0,1,0,0,0,0.010361,-1.917405409,-0.277084857,0
lorenzovalidator,0,1,0,0,0,0.020721,-1.917405409,-0.277084857,0
minminnet,0,0.526315789,0.473684211,0,0,0.000092,0.216571188,-0.237602408,1
node101,0,0.473684211,0.526315789,0,0,0.01036,0.453679699,-0.233215469,1
polkachucom,0,0.157894737,0.842105263,0,0,0.000669,1.876330764,-0.206893836,1
stakefish,0,0.052631579,0.947368421,0,0,0.026137,2.350547786,-0.198119959,1
verse2,0,1,0,0,0,0,-1.917405409,-0.277084857,0
zonaris01,0,0.368421053,0.631578947,0,0,0.000012,0.927896721,-0.224441591,1
